Plate:Well	KASP_4B543148213F	KASP_Sr2_ger93p	KASP_vrn-A1_exon4	KASP_Gb_Lr19Sr25	KASP_Lr9_A
0158_2024-BIGSIX-218	Y:Y	No Call	Y:Y	No Call	No Call
0159_2024-BIGSIX-219	Y:Y	X:X	Y:Y	No Call	No Call
0160_2024-BIGSIX-220	X:X	No Call	Y:Y	No Call	No Call
0161_2024-BIGSIX-221	X:X	X:X	Y:Y	No Call	No Call
0162_2024-BIGSIX-222	X:X	X:X	Y:Y	No Call	No Call
0163_2024-BIGSIX-223	X:X	X:X	Y:Y	No Call	No Call
0164_2024-BIGSIX-224	X:X	No Call	Y:Y	No Call	No Call
0165_2024-BIGSIX-225	X:X	X:X	Y:Y	No Call	No Call
0166_2024-BIGSIX-226	X:X	X:X	Y:Y	No Call	No Call
0167_2024-BIGSIX-227	Y:Y	X:X	Y:Y	No Call	No Call
0168_2024-BIGSIX-228	Y:Y	No Call	Y:Y	No Call	No Call
0169_2024-BIGSIX-229	X:X	X:X	Y:Y	No Call	No Call
0170_2024-BIGSIX-230	X:X	X:X	Y:Y	No Call	No Call
0171_2024-BIGSIX-231	X:X	X:X	Y:Y	No Call	No Call
0172_2024-BIGSIX-232	Y:Y	No Call	Y:Y	No Call	No Call
0173_2024-BIGSIX-233	X:X	X:X	Y:Y	No Call	No Call
0174_2024-BIGSIX-234	X:X	X:X	Y:Y	No Call	No Call
0175_2024-BIGSIX-235	Y:Y	No Call	Y:Y	No Call	No Call
0176_2024-BIGSIX-236	X:X	X:X	Y:Y	No Call	No Call
0177_2024-BIGSIX-237	X:X	X:X	Y:Y	No Call	No Call
0178_2024-BIGSIX-238	X:Y	No Call	Y:Y	No Call	No Call
0179_2024-BIGSIX-239	X:Y	No Call	Y:Y	No Call	No Call
0180_2024-BIGSIX-240	X:X	X:X	Y:Y	No Call	No Call
0181_2024-BIGSIX-241	X:X	X:X	Y:Y	No Call	No Call
0182_2024-BIGSIX-242	X:X	X:X	Y:Y	No Call	No Call
0183_2024-BIGSIX-243	X:X	No Call	Y:Y	No Call	No Call
0184_2024-BIGSIX-244	Y:Y	No Call	Y:Y	No Call	No Call
0185_2024-BIGSIX-245	Y:Y	Y:Y	Y:Y	No Call	No Call
0186_2024-BIGSIX-246	X:X	X:X	Y:Y	No Call	No Call
0187_2024-BIGSIX-247	X:X	No Call	Y:Y	No Call	No Call
0188_2024-BIGSIX-248	Y:Y	X:X	Y:Y	No Call	No Call
0189_2024-BIGSIX-249	Y:Y	X:X	Y:Y	No Call	No Call
0190_2024-BIGSIX-250	Y:Y	No Call	Y:Y	No Call	No Call
0191_2024-BIGSIX-301	X:X	No Call	Y:Y	No Call	No Call
0192_2024-BIGSIX-302	X:X	X:X	Y:Y	No Call	No Call
0193_2024-BIGSIX-303	X:X	X:X	Y:Y	No Call	No Call
0194_2024-BIGSIX-304	X:Y	X:X	Y:Y	No Call	No Call
0195_2024-BIGSIX-305	X:X	No Call	Y:Y	No Call	No Call
0196_2024-BIGSIX-306	X:X	X:X	Y:Y	No Call	No Call
0197_2024-BIGSIX-307	X:Y	X:X	Y:Y	No Call	No Call
0198_2024-BIGSIX-308	Y:Y	X:X	Y:Y	No Call	No Call
0199_2024-BIGSIX-309	X:X	X:X	Y:Y	No Call	No Call
0200_2024-BIGSIX-310	X:X	No Call	Y:Y	No Call	No Call
0201_2024-BIGSIX-311	X:X	No Call	Y:Y	No Call	No Call
0202_2024-BIGSIX-312	X:X	No Call	Y:Y	No Call	No Call
0203_2024-BIGSIX-313	X:X	No Call	Y:Y	No Call	No Call
0204_2024-BIGSIX-314	X:X	No Call	Y:Y	No Call	No Call
0205_2024-BIGSIX-315	X:Y	No Call	Y:Y	No Call	No Call
0206_2024-BIGSIX-316	X:Y	X:X	Y:Y	No Call	No Call
0207_2024-BIGSIX-317	Y:Y	No Call	Y:Y	No Call	No Call
0208_2024-BIGSIX-318	X:X	No Call	Y:Y	No Call	No Call
0209_2024-BIGSIX-319	X:X	No Call	Y:Y	No Call	No Call
0210_2024-BIGSIX-320	X:X	X:X	Y:Y	No Call	No Call
0211_2024-BIGSIX-321	Y:Y	X:X	Y:Y	No Call	No Call
0212_2024-BIGSIX-322	X:X	X:X	Y:Y	No Call	No Call
0213_2024-BIGSIX-323	X:X	No Call	Y:Y	No Call	No Call
0214_2024-BIGSIX-324	Y:Y	X:X	Y:Y	No Call	No Call
0215_2024-BIGSIX-325	Y:Y	No Call	X:X	No Call	No Call
0216_2024-BIGSIX-326	X:X	X:X	Y:Y	No Call	No Call
0217_2024-BIGSIX-327	X:X	No Call	Y:Y	No Call	No Call
0218_2024-BIGSIX-328	Y:Y	X:X	Y:Y	No Call	No Call
0219_2024-BIGSIX-329	X:Y	No Call	Y:Y	No Call	No Call
0220_2024-BIGSIX-330	Y:Y	No Call	Y:Y	No Call	No Call
0221_2024-BIGSIX-331	X:X	No Call	Y:Y	No Call	No Call
0222_2024-BIGSIX-332	Y:Y	X:X	Y:Y	No Call	No Call
0223_2024-BIGSIX-333	Y:Y	X:X	Y:Y	No Call	No Call
0224_2024-BIGSIX-334	Y:Y	X:X	Y:Y	No Call	No Call
0225_2024-BIGSIX-335	Y:Y	X:X	Y:Y	No Call	No Call
0226_2024-BIGSIX-336	X:Y	X:X	Y:Y	No Call	No Call
0227_2024-BIGSIX-337	X:X	X:X	Y:Y	No Call	No Call
0228_2024-BIGSIX-338	X:X	X:X	Y:Y	No Call	No Call
0229_2024-BIGSIX-339	X:X	X:X	Y:Y	No Call	No Call
0230_2024-BIGSIX-340	X:X	No Call	Y:Y	No Call	No Call
0231_2024-BIGSIX-341	X:Y	X:X	Y:Y	No Call	No Call
0232_2024-BIGSIX-342	Y:Y	X:X	Y:Y	No Call	No Call
0233_2024-BIGSIX-343	X:X	X:X	Y:Y	No Call	No Call
0234_2024-BIGSIX-344	X:X	No Call	Y:Y	No Call	No Call
0235_2024-BIGSIX-345	X:X	X:X	Y:Y	No Call	No Call
0236_2024-BIGSIX-346	Y:Y	X:X	Y:Y	No Call	No Call
0237_2024-BIGSIX-347	Y:Y	X:X	Y:Y	No Call	No Call
0238_2024-BIGSIX-348	Y:Y	No Call	Y:Y	No Call	No Call
0239_2024-BIGSIX-349	Y:Y	X:X	Y:Y	No Call	No Call
0240_2024-BIGSIX-350	X:X	X:X	Y:Y	No Call	No Call
0241_2024-BIGSIX-351	Y:Y	X:X	Y:Y	No Call	No Call
0242_2024-BIGSIX-352	X:X	X:X	Y:Y	No Call	No Call
0243_2024-BIGSIX-353	X:Y	X:X	Y:Y	No Call	No Call
0244_2024-BIGSIX-354	X:X	X:X	Y:Y	No Call	No Call
0245_2024-BIGSIX-355	X:Y	X:X	Y:Y	No Call	No Call
0246_2024-BIGSIX-356	X:X	X:X	Y:Y	No Call	No Call
0247_2024-BIGSIX-357	X:X	No Call	Y:Y	No Call	No Call
0248_2024-BIGSIX-358	X:X	No Call	Y:Y	No Call	No Call
0249_2024-BIGSIX-359	X:X	X:X	Y:Y	No Call	No Call
0250_2024-BIGSIX-402	X:X	X:X	Y:Y	No Call	No Call
0251_2024-BIGSIX-401	X:X	X:X	Y:Y	No Call	No Call
0252_2024-BIGSIX-360	Y:Y	X:X	Y:Y	No Call	No Call
0253_2024-BIGSIX-403	X:X	X:X	Y:Y	No Call	No Call
0254_2024-BIGSIX-404	X:X	No Call	Y:Y	No Call	No Call
0255_2024-BIGSIX-405	X:X	No Call	Y:Y	No Call	No Call
0256_2024-BIGSIX-406	X:X	X:X	Y:Y	No Call	No Call
0257_2024-BIGSIX-407	X:X	X:X	Y:Y	No Call	No Call
0258_2024-BIGSIX-408	X:X	X:X	Y:Y	No Call	No Call
0259_2024-BIGSIX-409	X:X	X:X	Y:Y	No Call	No Call
0260_2024-BIGSIX-410	X:X	X:X	Y:Y	No Call	No Call
0261_2024-BIGSIX-411	Y:Y	No Call	Y:Y	No Call	No Call
0262_2024-BIGSIX-412	X:X	X:X	Y:Y	No Call	No Call
0263_2024-BIGSIX-413	X:X	X:X	Y:Y	No Call	No Call
0264_2024-BIGSIX-414	X:X	X:X	Y:Y	No Call	No Call
0265_2024-BIGSIX-415	X:X	X:X	Y:Y	No Call	No Call
0266_2024-BIGSIX-416	X:X	X:X	X:X	No Call	No Call
0267_2024-BIGSIX-417	X:X	X:X	Y:Y	No Call	No Call
0268_2024-BIGSIX-418	X:X	X:X	Y:Y	No Call	No Call
0269_2024-BIGSIX-419	X:Y	X:X	Y:Y	No Call	No Call
0270_2024-BIGSIX-420	X:X	X:X	Y:Y	No Call	No Call
0271_2024-BIGSIX-421	X:X	X:X	Y:Y	No Call	No Call
0272_2024-BIGSIX-422	X:X	X:X	Y:Y	No Call	No Call
0273_2024-BIGSIX-423	X:X	No Call	Y:Y	No Call	No Call
0274_2024-BIGSIX-424	Y:Y	X:X	Y:Y	No Call	No Call
0275_2024-BIGSIX-425	X:X	X:X	Y:Y	No Call	Y:Y
0276_2024-BIGSIX-426	X:X	X:X	Y:Y	No Call	No Call
0277_2024-BIGSIX-427	X:X	X:X	Y:Y	No Call	No Call
0278_2024-BIGSIX-428	X:X	X:X	Y:Y	No Call	No Call
0279_2024-BIGSIX-429	X:X	No Call	Y:Y	No Call	No Call
0280_2024-BIGSIX-430	X:X	No Call	Y:Y	No Call	Y:Y
0281_2024-BIGSIX-431	X:Y	X:X	Y:Y	No Call	No Call
0282_2024-BIGSIX-432	X:X	No Call	Y:Y	No Call	No Call
0283_2024-BIGSIX-433	X:X	X:X	X:X	No Call	No Call
0284_2024-BIGSIX-434	X:X	X:X	Y:Y	No Call	No Call
0285_2024-BIGSIX-435	X:X	No Call	Y:Y	No Call	No Call
0286_2024-BIGSIX-436	X:X	X:X	Y:Y	No Call	No Call
0287_2024-BIGSIX-437	X:X	X:X	Y:Y	No Call	No Call
0288_2024-BIGSIX-438	Y:Y	X:X	Y:Y	No Call	No Call
0289_2024-BIGSIX-439	X:Y	X:X	Y:Y	No Call	No Call
0290_2024-BIGSIX-440	Y:Y	X:X	Y:Y	No Call	No Call
0291_2024-BIGSIX-441	Y:Y	X:X	Y:Y	No Call	No Call
0292_2024-BIGSIX-442	X:X	X:X	Y:Y	No Call	No Call
0293_2024-BIGSIX-443	X:X	X:X	Y:Y	No Call	No Call
0294_2024-BIGSIX-444	X:X	X:X	Y:Y	No Call	No Call
0295_2024-BIGSIX-445	X:X	X:X	Y:Y	No Call	No Call
0296_2024-BIGSIX-446	X:X	X:X	Y:Y	No Call	No Call
0297_2024-BIGSIX-447	X:X	X:X	Y:Y	No Call	No Call
0298_2024-BIGSIX-448	X:X	No Call	Y:Y	No Call	No Call
0299_2024-BIGSIX-449	Y:Y	X:X	Y:Y	No Call	No Call
0300_2024-BIGSIX-450	X:X	X:X	Y:Y	No Call	Y:Y
0301_2024-BIGSIX-451	X:X	X:X	Y:Y	No Call	No Call
0302_2024-BIGSIX-452	X:X	X:X	Y:Y	No Call	No Call
0303_2024-BIGSIX-453	X:X	X:X	Y:Y	No Call	No Call
0304_2024-BIGSIX-454	X:X	No Call	Y:Y	No Call	No Call
0305_2024-BIGSIX-455	X:X	No Call	Y:Y	No Call	Y:Y
0306_2024-BIGSIX-456	Y:Y	X:X	Y:Y	No Call	No Call
0307_2024-BIGSIX-457	X:X	No Call	Y:Y	No Call	No Call
0308_2024-BIGSIX-458	X:X	X:X	X:X	No Call	No Call
0309_2024-BIGSIX-459	X:X	X:X	Y:Y	No Call	No Call
0310_2024-BIGSIX-460	X:X	X:X	Y:Y	No Call	No Call
0311_2024-BIGSIX-461	X:X	X:X	Y:Y	No Call	No Call
0312_2024-BIGSIX-462	X:X	X:X	Y:Y	No Call	No Call
0313_2024-BIGSIX-463	Y:Y	X:X	Y:Y	No Call	No Call
0314_2024-BIGSIX-464	X:Y	X:X	Y:Y	No Call	No Call
0315_2024-BIGSIX-465	Y:Y	X:X	Y:Y	No Call	No Call
0316_2024-BIGSIX-466	X:Y	X:X	Y:Y	No Call	No Call
0317_2024-BIGSIX-467	X:X	X:X	Y:Y	No Call	No Call
0318_2024-BIGSIX-468	X:X	X:X	Y:Y	No Call	No Call
0319_2024-BIGSIX-469	X:X	X:X	Y:Y	No Call	No Call
0320_2024-BIGSIX-470	X:X	X:X	Y:Y	No Call	No Call
0321_2024-BIGSIX-501	X:X	No Call	Y:Y	No Call	No Call
0322_2024-BIGSIX-502	X:Y	No Call	Y:Y	No Call	No Call
0323_2024-BIGSIX-503	X:X	X:X	Y:Y	No Call	No Call
0324_2024-BIGSIX-504	X:X	X:X	Y:Y	No Call	No Call
0325_2024-BIGSIX-505	X:X	X:X	Y:Y	No Call	No Call
0326_2024-BIGSIX-506	X:X	No Call	Y:Y	No Call	No Call
0327_2024-BIGSIX-507	X:X	No Call	Y:Y	No Call	No Call
0328_2024-BIGSIX-508	X:X	No Call	Y:Y	No Call	No Call
0329_2024-BIGSIX-509	X:X	X:X	Y:Y	No Call	No Call
0330_2024-BIGSIX-510	X:X	No Call	Y:Y	No Call	No Call
0331_2024-BIGSIX-511	X:X	X:X	Y:Y	No Call	No Call
0332_2024-BIGSIX-512	X:X	X:X	Y:Y	No Call	No Call
0333_2024-BIGSIX-513	X:X	X:X	Y:Y	No Call	No Call
0334_2024-BIGSIX-514	X:X	X:X	Y:Y	No Call	No Call
0335_2024-BIGSIX-515	X:X	X:X	Y:Y	No Call	No Call
0336_2024-BIGSIX-516	X:X	No Call	Y:Y	No Call	No Call
0337_2024-BIGSIX-517	X:X	No Call	Y:Y	No Call	No Call
0338_2024-BIGSIX-518	X:X	No Call	Y:Y	No Call	No Call
0339_2024-BIGSIX-519	X:X	X:X	Y:Y	No Call	No Call
0340_2024-BIGSIX-520	X:X	No Call	Y:Y	No Call	No Call
0341_2024-BLANK-3	No Call	No Call	No Call	No Call	No Call
0342_2024-BIGSIX-601	X:X	X:X	Y:Y	No Call	No Call
0343_2024-BIGSIX-602	X:X	X:X	Y:Y	No Call	No Call
0344_2024-BIGSIX-603	X:X	X:X	Y:Y	No Call	No Call
0345_2024-BIGSIX-604	X:X	No Call	Y:Y	No Call	No Call
0346_2024-BIGSIX-605	X:X	No Call	Y:Y	No Call	No Call
0347_2024-BIGSIX-606	X:X	X:X	Y:Y	No Call	No Call
0348_2024-BIGSIX-607	X:X	X:X	Y:Y	No Call	No Call
0349_2024-BIGSIX-608	X:X	No Call	Y:Y	No Call	No Call
0350_2024-BIGSIX-609	X:X	No Call	Y:Y	No Call	No Call
0351_2024-BIGSIX-610	X:X	No Call	Y:Y	No Call	No Call
0352_2024-BIGSIX-611	X:X	No Call	Y:Y	No Call	No Call
0353_2024-BIGSIX-612	X:X	No Call	Y:Y	No Call	No Call
0354_2024-BIGSIX-613	X:X	X:X	Y:Y	No Call	No Call
0355_2024-BIGSIX-614	X:X	X:X	Y:Y	No Call	No Call
0356_2024-BIGSIX-615	X:X	No Call	Y:Y	No Call	No Call
0357_2024-BIGSIX-616	X:X	X:X	Y:Y	No Call	No Call
0358_2024-BIGSIX-617	X:X	No Call	Y:Y	No Call	No Call
0359_2024-BIGSIX-618	X:X	No Call	Y:Y	No Call	No Call
0360_2024-BIGSIX-619	X:X	No Call	Y:Y	No Call	No Call
0361_2024-BLANK-11	No Call	No Call	No Call	No Call	No Call
0362_2024-CONTROL-01	X:X	X:X	X:X	No Call	No Call
0363_2024-CONTROL-02	X:X	No Call	X:X	No Call	No Call
0364_2024-CONTROL-03	Y:Y	X:X	X:X	No Call	No Call
0365_2024-CONTROL-04	Y:Y	No Call	X:Y	No Call	No Call
0366_2024-CONTROL-05	Y:Y	No Call	X:X	No Call	No Call
0367_2024-CONTROL-06	X:X	X:X	X:X	No Call	No Call
0368_2024-CONTROL-07	Y:Y	X:X	X:X	No Call	No Call
0369_2024-CONTROL-08	Y:Y	No Call	Y:Y	No Call	No Call
0370_2024-CONTROL-09	X:X	No Call	Y:Y	No Call	No Call
0371_2024-CONTROL-10	X:X	X:Y	Y:Y	No Call	No Call
